Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.5946491948437975
0,0,0,1,0.7000000000000001
0,0,1,0,0.27713691466567314 <
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5
0,2,1,0,0.1
0,2,1,1,0.2
1,0,0,0,0.24777049785158226
1,0,0,1,0.19999999999999998
1,0,1,0,0.5030705158893993 >
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.35
1,2,1,0,0.3
1,2,1,1,0.25
2,0,0,0,0.15758030730462025
2,0,0,1,0.09999999999999999
2,0,1,0,0.21979256944492756 >
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.15
2,2,1,0,0.6
2,2,1,1,0.55
