Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.7000000000000001
0,0,1,0,0.3
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5679696072224462
0,2,1,0,0.1
0,2,1,1,0.23011474199740337
1,0,0,0,0.25
1,0,0,1,0.19999999999999998
1,0,1,0,0.5
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.3024212749442876
1,2,1,0,0.3
1,2,1,1,0.24058914312581148
2,0,0,0,0.15
2,0,0,1,0.09999999999999999
2,0,1,0,0.2
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.1296091178332662
2,2,1,0,0.6
2,2,1,1,0.5292961148767852
