Time studying,SES,Motivation,ECs,Delta
0,0,0,0,0.6
0,0,0,1,0.7000000000000001
0,0,1,0,0.3
0,0,1,1,0.4
0,1,0,0,0.55
0,1,0,1,0.65
0,1,1,0,0.1
0,1,1,1,0.2
0,2,0,0,0.4
0,2,0,1,0.5152058245853165
0,2,1,0,0.1
0,2,1,1,0.29972090966550163
1,0,0,0,0.25
1,0,0,1,0.19999999999999998
1,0,1,0,0.5
1,0,1,1,0.45
1,1,0,0,0.3
1,1,0,1,0.25
1,1,1,0,0.4
1,1,1,1,0.35
1,2,0,0,0.4
1,2,0,1,0.3393559227902784
1,2,1,0,0.3
1,2,1,1,0.21883721572953072
2,0,0,0,0.15
2,0,0,1,0.09999999999999999
2,0,1,0,0.2
2,0,1,1,0.15
2,1,0,0,0.15
2,1,0,1,0.1
2,1,1,0,0.5
2,1,1,1,0.45
2,2,0,0,0.2
2,2,0,1,0.14543825262440507
2,2,1,0,0.6
2,2,1,1,0.4814418746049676
